,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38514738
source,MED
pmid,38514738
pmcid,PMC10957894
fullTextIdList,"OrderedDict([('fullTextId', 'PMC10957894')])"
doi,10.1038/s41598-024-56897-3
title,The neural basis of naturalistic semantic and social cognition.
authorString,"Thye M, Hoffman P, Mirman D."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Thye M'), ('firstName', 'Melissa'), ('lastName', 'Thye'), ('initials', 'M'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6383-6361')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Psychology, University of Edinburgh, Edinburgh, EH8 9JZ, UK. m.thye@ed.ac.uk.')]))]))]), OrderedDict([('fullName', 'Hoffman P'), ('firstName', 'Paul'), ('lastName', 'Hoffman'), ('initials', 'P'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3248-3225')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Psychology, University of Edinburgh, Edinburgh, EH8 9JZ, UK.')]))]))]), OrderedDict([('fullName', 'Mirman D'), ('firstName', 'Daniel'), ('lastName', 'Mirman'), ('initials', 'D'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5472-0220')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Psychology, University of Edinburgh, Edinburgh, EH8 9JZ, UK.')]))]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5472-0220')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3248-3225')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6383-6361')])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '14'), ('journalIssueId', '3724758'), ('dateOfPublication', '2024 Mar'), ('monthOfPublication', '3'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-03-01'), ('journal', OrderedDict([('title', 'Scientific reports'), ('ISOAbbreviation', 'Sci Rep'), ('medlineAbbreviation', 'Sci Rep'), ('NLMid', '101563288'), ('ISSN', '2045-2322'), ('ESSN', '2045-2322')]))])"
pubYear,2024
pageInfo,6796
abstractText,"Decoding social environments and engaging meaningfully with other people are critical aspects of human cognition. Multiple cognitive systems, including social and semantic cognition, work alongside each other to support these processes. This study investigated shared processing between social and semantic systems using neuroimaging data collected during movie-viewing, which captures the multimodal environment in which social knowledge is exchanged. Semantic and social content from movie events (event-level) and movie transcripts (word-level) were used in parametric modulation analyses to test (1) the degree to which semantic and social information is processed within each respective network and (2) engagement of the same cross-network regions or the same domain-general hub located within the semantic network during semantic and social processing. Semantic word and event-level content engaged the same fronto-temporo-parietal network and a portion of the semantic hub in the anterior temporal lobe (ATL). Social word and event-level content engaged the supplementary motor area and right angular gyrus within the social network, but only social words engaged the domain-general semantic hub in left ATL. There was evidence of shared processing between the social and semantic systems in the dorsolateral portion of right ATL which was engaged by word and event-level semantic and social content. Overlap between the semantic and social word and event results was highly variable within and across participants, with the most consistent loci of overlap occurring in left inferior frontal, bilateral precentral and supramarginal gyri for social and semantic words and in bilateral superior temporal gyrus extending from ATL posteriorly into supramarginal gyri for social and semantic events. These results indicate a complex pattern of shared and distinct regions for social and semantic cognition during naturalistic processing. PROTOCOL REGISTRATION: The stage 1 protocol for this Registered Report was accepted in principle on October 11, 2022. The protocol, as accepted by the journal, can be found at: https://doi.org/10.17605/OSF.IO/ACWQY ."
affiliation,"Department of Psychology, University of Edinburgh, Edinburgh, EH8 9JZ, UK. m.thye@ed.ac.uk."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', OrderedDict([('grantId', 'BB/T004444/1'), ('agency', 'Biotechnology and Biological Sciences Research Council'), ('orderIn', '0')]))])"
meshHeadingList,"OrderedDict([('meshHeading', [OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Temporal Lobe'), ('meshQualifierList', OrderedDict([('meshQualifier', OrderedDict([('abbreviation', 'DG'), ('qualifierName', 'diagnostic imaging'), ('majorTopic_YN', 'N')]))]))]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Humans')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Magnetic Resonance Imaging')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Brain Mapping')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Cognition')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Semantics')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Social Cognition')])])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
