anchor_id,anchor_text,anchor_keywords,anchor_summary,target_id,target_text,target_keywords,target_summary
,"Global surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling . Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years . The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C.  ",,,WGI SPM A.1,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have\xa0occurred.",,
,"Global surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling . Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years . The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C.  ",,, WGI SPM A.1.2,"Each of the last four decades has been successively warmer than any decade that preceded it since 1850. Global surface temperature8in the first two decades of the 21st century (2001–2020) was 0.99 [0.84 to 1.10] °C higher than 1850–1900.9Global surface temperature was 1.09 [0.95 to 1.20] °C higher in 2011–2020 than 1850–1900, with larger increases over land (1.59 [1.34 to 1.83] °C) than over the ocean (0.88 [0.68 to 1.01] °C). The estimated increase in global surface temperature since AR5 is principally due to further warming since 2003–2012 (+0.19 [0.16 to 0.22] °C). Additionally, methodological advances and new datasets contributed approximately 0.1°C to the updated estimate of warming in\xa0AR6.10",,
,"Global surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling . Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years . The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C.  ",,, WGI SPM A.1.3,"The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–201911is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs contributed a warming of 1.0°C to 2.0°C, other human drivers (principally aerosols) contributed a cooling of 0.0°C to 0.8°C, natural drivers changed global surface temperature by –0.1°C to +0.1°C, and internal variability changed it by –0.2°C to +0.2°C. It is very likely that well-mixed GHGs were the main driver12of tropospheric warming since 1979 and extremely likely that human-caused stratospheric ozone depletion was the main driver of cooling of the lower stratosphere between 1979 and the mid-1990s.",,
,"Global surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling . Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years . The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C.  ",,, WGI SPM A.2.2,"Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years . Temperatures during the most recent decade (2011–2020) exceed those of the most recent multi-century warm period, around 6500 years ago13[0.2°C to 1°C relative to 1850–1900] . Prior to that, the next most recent warm period was about 125,000 years ago, when the multi-century temperature [0.5°C to 1.5°C relative to 1850–1900] overlaps the observations of the most recent decade .",,
,years . The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury .  ,,, WGI SPM A.2.1,"In 2019, atmospheric CO2concentrations were higher than at any time in at least 2 million years , and concentrations of CH4and N2O were higher than at any time in at least 800,000 years . Since 1750, increases in CO2(47%) and CH4(156%) concentrations far exceed\xa0– and increases in N2O (23%) are similar to\xa0– the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very\xa0high\xa0confidence).",,
,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver17of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively . Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018 . Human influence was very likely the main driver of these increases since at least 1971 . Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019. Human influence has also very likely contributed to decreased Northern Hemisphere spring snow cover and surface melting of the Greenland ice sheet. It is virtually certain that human-caused CO2 emissions are the main driver of current global acidification of the surface open ocean.  ",,,WGI SPM A.1,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have\xa0occurred.",,
,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver17of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively . Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018 . Human influence was very likely the main driver of these increases since at least 1971 . Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019. Human influence has also very likely contributed to decreased Northern Hemisphere spring snow cover and surface melting of the Greenland ice sheet. It is virtually certain that human-caused CO2 emissions are the main driver of current global acidification of the surface open ocean.  ",,, WGI SPM A.1.3,"The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–201911is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs contributed a warming of 1.0°C to 2.0°C, other human drivers (principally aerosols) contributed a cooling of 0.0°C to 0.8°C, natural drivers changed global surface temperature by –0.1°C to +0.1°C, and internal variability changed it by –0.2°C to +0.2°C. It is very likely that well-mixed GHGs were the main driver12of tropospheric warming since 1979 and extremely likely that human-caused stratospheric ozone depletion was the main driver of cooling of the lower stratosphere between 1979 and the mid-1990s.",,
,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver17of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively . Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018 . Human influence was very likely the main driver of these increases since at least 1971 . Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019. Human influence has also very likely contributed to decreased Northern Hemisphere spring snow cover and surface melting of the Greenland ice sheet. It is virtually certain that human-caused CO2 emissions are the main driver of current global acidification of the surface open ocean.  ",,, WGI SPM A.1.5,"Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019 (decreases of about 40% in September and about 10% in March). There has been no significant trend in Antarctic sea ice area from 1979 to 2020 due to regionally opposing trends and large internal variability. Human influence very likely contributed to the decrease in Northern Hemisphere spring snow cover since 1950. It is very likely that human influence has contributed to the observed surface melting of the Greenland Ice Sheet over the past two decades, but there is only limited evidence, with medium agreement, of human influence on the Antarctic Ice Sheet mass loss.",,
,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver17of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively . Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018 . Human influence was very likely the main driver of these increases since at least 1971 . Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019. Human influence has also very likely contributed to decreased Northern Hemisphere spring snow cover and surface melting of the Greenland ice sheet. It is virtually certain that human-caused CO2 emissions are the main driver of current global acidification of the surface open ocean.  ",,, WGI SPM A.1.6,It is virtually certain that the global upper ocean (0–700 m) has warmed since the 1970s and extremely likely that human influence is the main driver. It is virtually certain that human-caused CO2emissions are the main driver of current global acidification of the surface open ocean. There is high confidence that oxygen levels have dropped in many upper ocean regions since the mid-20th century and medium confidence that human influence contributed to this drop.,,
,"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver17of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively . Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018 . Human influence was very likely the main driver of these increases since at least 1971 . Human influence is very likely the main driver of the global retreat of glaciers since the 1990s and the decrease in Arctic sea ice area between 1979–1988 and 2010–2019. Human influence has also very likely contributed to decreased Northern Hemisphere spring snow cover and surface melting of the Greenland ice sheet. It is virtually certain that human-caused CO2 emissions are the main driver of current global acidification of the surface open ocean.  ",,, WGI SPM A.2,The scale of recent changes across the climate system as a whole – and the present state of many aspects of the climate system – are unprecedented over many centuries to many thousands of years.,,
