,file_path,sentence,section
1,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/21_abstract.xml,Highlights   People have different key players according to age People have different characteristics of social network groups according to age People utilise different domains to share COVID‐19 information according to age Governments and policymakers should understand the characteristics of social networks for COVID‐19 according to age,ABS
2,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,Abstract This study highlights how people get important information on COVID‐19 according to age groups by employing social network analysis for Twitter.,ABS
3,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"First, people have different key players according to the age groups.",ABS
4,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"For example, while universities and journals play a crucial role in the adults networks, news media have a significant impact on the elderlys networks.",ABS
5,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"Second, people have different characteristics of social network groups according to age.",ABS
6,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"For example, people belong to small groups, and barely communicate with others across the groups in the teens networks, whereas people in each group have strong communication networks with other groups in the elderlys networks.",ABS
7,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"Third, this study shows that people utilise different domains to share COVID‐19 information according to age.",ABS
8,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,"For example, while twitter.com ranks first in the children, teens, and elderlys networks, cnn.com places first in the adults networks.",ABS
9,/Users/pm286/projects/semanticClimate/climate_justice/PMC7648241/sections/1_front/1_article-meta/17_abstract.xml,"Climate change and coronavirus pandemic are the twin crises in the Anthropocene, the era in which unsustainable growth of human activities has led to a significant change in the global environment.",ABS
10,/Users/pm286/projects/semanticClimate/climate_justice/PMC7648241/sections/1_front/1_article-meta/17_abstract.xml,"The two crises have also exposed a chronic social illness of our time—a deep, widespread inequality in society.",ABS
11,/Users/pm286/projects/semanticClimate/climate_justice/PMC7648241/sections/1_front/1_article-meta/17_abstract.xml,"Whilst the circumstances are unfortunate, the pandemic can provide an opportunity for sustainability scientists to focus more on human society and its inequalities, rather than a sole focus on the natural environment.",ABS
