,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
1,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/21_abstract.xml,Highlights   People have different key players according to age People have different characteristics of social network groups according to age People utilise different domains to share COVID‐19 information according to age Governments and policymakers should understand the characteristics of social networks for COVID‐19 according to age,ABS,COVID‐19,ORG,314,322,,,,
2,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/20_abstract.xml,Abstract This study highlights how people get important information on COVID‐19 according to age groups by employing social network analysis for Twitter.,ABS,COVID‐19,ORG,71,79,,,,
20,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,"Guinea-Bissau remains among the African countries most vulnerable to climate change due to its flat topography and large meandering coastal area invaded by the tides.We present a case study of the island-village of Djobel, showing the dramatic consequences of socio-environmental change.",ABS,Djobel,ORG,215,221,,,,
22,/Users/pm286/projects/semanticClimate/climate_justice/PMC9465672/sections/1_front/1_article-meta/15_abstract.xml,"In the context of a disconnect between state and society, Djobels inhabitants want the state to guarantee their rights to productive land, water, and safe housing conditions.",ABS,Djobel,ORG,58,64,,,,
25,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"In preparation for evaluating the Public Climate School, a school-based intervention to promote climate awareness and action in adolescents, we conduct a pilot study intended to assess procedures for participant recruitment, retention, and data collection, data quality issues and to provide preliminary parameter estimates to guide sample size calculations.",ABS,the Public Climate School,ORG,30,55,,,,
28,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"The intervention consisted of (1) live lessons on YouTube, (2) climate-related challenges of the day, (3) workshops and (4) peer exchange sessions.",ABS,YouTube,ORG,50,57,,,,
33,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,Conclusions:  The pilot study will lay the methodological groundwork for a large-scale cluster-randomised effectiveness and process evaluation of the Public Climate School.,ABS,the Public Climate School,ORG,146,171,,,,
34,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/26_abstract.xml,"If proven effective and rolled out more broadly, the Public Climate School has the potential to contribute meaningfully to national climate mitigation and adaptation efforts by reaching a substantial share of adolescents in public schools, including those traditionally less involved in climate action.",ABS,the Public Climate School,ORG,49,74,,,,
44,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,Indigenous communities have a wealth of Traditional Knowledge for climate change adaptation and preparedness to strengthen food systems.,ABS,Traditional Knowledge,ORG,40,61,,,,
46,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Objective The Food Equity and Environmental Data Sovereignty (FEEDS) Project takes a participatory action, citizen science approach for early detection and warning of climate change impacts on food sovereignty, food security, and solastalgia.",ABS,"FEEDS, Project","ORG, ORG","62, 69","67, 76",,,,
49,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The FEEDS Project is being implemented in five phases: participatory project planning, digital climate change platform customization, community-led evaluation, digital platform and project refinement, and integrated knowledge translation.",ABS,The FEEDS Project,ORG,0,17,,,,
50,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The project is governed by a Citizen Scientist Advisory Council comprising Elders, Traditional Knowledge Keepers, key community decision makers, youth, and FEEDS Project researchers.",ABS,"Citizen Scientist Advisory Council, FEEDS Project","ORG, ORG","29, 156","63, 169",,,,
51,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"The Council governs all phases of the project, including coconceptualizing a climate change platform, which consists of a smartphone app and a digital decision-making dashboard.",ABS,Council,ORG,4,11,,,,
54,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Results This project is currently in phase 1, with the subarctic Métis jurisdiction of Île-à-la-Crosse, Saskatchewan, Canada.",ABS,"Île-à-la-Crosse,",ORG,87,103,,,,
55,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,"Conclusions The FEEDS Project facilitates Indigenous Peoples’ self-determination, governance, and data sovereignty.",ABS,The FEEDS Project,ORG,12,29,,,,
60,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/23_abstract.xml,International Registered Report Identifier (IRRID) PRR1-10.2196/31389,ABS,IRRID,ORG,44,49,,,,
69,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"While analysing the cases of China and the European Union, we point out contradictions stemming from their policy goals guided by strategic interests.",ABS,the European Union,ORG,39,57,,,,
71,/Users/pm286/projects/semanticClimate/climate_justice/PMC8626747/sections/1_front/1_article-meta/15_abstract.xml,"To do so, this article is structured around three sections: (i) a brief historical account of China’s and the EU’s roles in international climate policy; (ii) their legacies in climate governance and the inextricable relationship between their normative behaviour and their development objectives; (iii) an overview of the signing of the strategic memorandum of understanding for economic and trade agreement between Mercosur and the EU in 2019, as well as Sino-Brazilian relations facilitating investments and trade in multiple segments vis-à-vis the most recent multifaceted backlash in Brazil’s socio-environmental and climate policies.",ABS,"EU, EU","ORG, ORG","110, 434","112, 436",,,,
74,/Users/pm286/projects/semanticClimate/climate_justice/PMC7826151/sections/1_front/1_article-meta/14_abstract.xml,"This theoretical paper explores and discusses the changing roles and identities of these institutions through the emergence of what we identify as  fourth-generation science museums  and their six defining drivers (Pedretti & Navas Iannini,  2020 ).",ABS,Pedretti & Navas,ORG,215,231,,,,
110,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"In this study, we investigate whether justice sensitivity motivates pro-environmental intention (PEI) and behavior (PEB) and, if so, to what extent emotions and moral disengagement determine this process.",ABS,PEI,ORG,97,100,,,,
112,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"Multiple regression analyses in both studies suggest that a higher perception of injustice from a perpetrator’s, beneficiary’s, and observer’s perspective is associated with an increased PEI.",ABS,PEI,ORG,187,190,,,,
113,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"However, moral disengagement best predicted PEB and PEI.",ABS,"PEB, PEI","ORG, ORG","44, 52","47, 55",,,,
114,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,Guilt and authentic pride were found to be emotional predictors of PEI.,ABS,PEI,ORG,67,70,,,,
115,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"Additionally, mediation analyses demonstrated that guilt mediates the connection between both perpetrator and beneficiary sensitivity and PEI.",ABS,PEI,ORG,138,141,,,,
116,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/14_abstract.xml,"These results suggest that when the predominant originators of climate change (i.e., individuals from industrialized countries) perceive global climate injustice from the perspective of a beneficiary or a perpetrator, they experience guilt and have a higher PEI.",ABS,PEI,ORG,258,261,,,,
120,/Users/pm286/projects/semanticClimate/climate_justice/PMC9411551/sections/1_front/1_article-meta/14_abstract.xml,"New study shows that up to 50% of properties flooded after hurricane Harvey flooded because of climate change, with low-income and Latina/x/o neighborhoods experiencing higher climate change-attributed impacts.",ABS,Latina/x,ORG,131,139,,,,
123,/Users/pm286/projects/semanticClimate/climate_justice/PMC9411551/sections/1_front/1_article-meta/13_abstract.xml,"Here, we use climate change attribution science paired with hydrological flood models to estimate climate change-attributed flood depths and damages during Hurricane Harvey in Harris County, Texas.",ABS,Hurricane Harvey,ORG,156,172,,,,
