,0,1,2,3,4
0,anchor_text,anchor_id,target_id,target_text,
1,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ",WGI SPM A.1,A.1,"A.1   It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred.{2.2, 2.3, Cross-Chapter Box 2.3, 3.3, 3.4, 3.5, 3.6, 3.8, 5.2, 5.3, 6.4, 7.3, 8.3, 9.2, 9.3, 9.5, 9.6, Cross-Chapter Box 9.1} (Figure SPM.1, Figure SPM.2)"
2,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ", WGI SPM A.1.2,A.1.2,"A.1.2   Each of the last four decades has been successively warmer than any decade that preceded it since 1850. Global surface temperature8in the first two decades of the 21st century (2001–2020) was 0.99 [0.84 to 1.10] °C higher than 1850–1900.9Global surface temperature was 1.09 [0.95 to 1.20] °C higher in 2011–2020 than 1850–1900, with larger increases over land (1.59 [1.34 to 1.83] °C) than over the ocean (0.88 [0.68 to 1.01] °C). The estimated increase in global surface temperature since AR5 is principally due to further warming since 2003–2012 (+0.19 [0.16 to 0.22] °C). Additionally, methodological advances and new datasets contributed approximately 0.1°C to the updated estimate of warming in AR6.10"
3,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ", WGI SPM A.1.3,A.1.3,"A.1.3  The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–201911is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs contributed a warming of 1.0°C to 2.0°C, other human drivers (principally aerosols) contributed a cooling of 0.0°C to 0.8°C, natural drivers changed global surface temperature by –0.1°C to +0.1°C, and internal variability changed it by –0.2°C to +0.2°C. It is very likely that well-mixed GHGs were the main driver12of tropospheric warming since 1979 and extremely likely that human-caused stratospheric ozone depletion was the main driver of cooling of the lower stratosphere between 1979 and the mid-1990s. {3.3, 6.4, 7.3, TS.2.3, Cross-Section Box TS.1} (Figure SPM.2)"
4,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ", WGI SPM A.2.2,A.2.2,"A.2.2  Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). Temperatures during the most recent decade (2011–2020) exceed those of the most recent multi-century warm period, around 6500 years ago13[0.2°C to 1°C relative to 1850–1900] (medium confidence). Prior to that, the next most recent warm period was about 125,000 years ago, when the multi-century temperature [0.5°C to 1.5°C relative to 1850–1900] overlaps the observations of the most recent decade (medium confidence). {2.3, Cross-Chapter Box 2.1, Cross-Section Box TS.1} (Figure SPM.1)"
5,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ", WGI Figure SPM.2,,
6,2.1.1.a,"2.1.1.aGlobal surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C])7, with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C])8. Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence). The likely range of total human-caused global surface temperature increase from 1850–1900 to 2010–20199is 0.8°C to 1.3°C, with a best estimate of 1.07°C. It is likely that well-mixed GHGs10contributed a warming of 1.0°C–2.0°C, and other human drivers (principally aerosols) contributed a cooling of 0.0°C–0.8°C, natural (solar and volcanic) drivers changed global surface temperature by ±0.1°C and internal variability changed it by ±0.2°C. {WGI SPM A.1, WGI SPM A.1.2, WGI SPM A.1.3, WGI SPM A.2.2, WGI Figure SPM.2; SRCCL TS.2} ", SRCCL TS.2,,
7,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ",WGI SPM A1.1,,
8,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI SPM A1.3,,
9,2.1.1.b,"2.1.1.bObserved increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence). In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb11. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years. Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). The net cooling effect which arises from anthropogenic aerosols peaked in the late 20thcentury (high confidence). {WGI SPM A1.1, WGI SPM A1.3, WGI SPM A.2.1, WGI Figure SPM.2, WGI TS 2.2, WGI 2ES, WGI Figure 6.1} ", WGI SPM A.2.1,A.2.1,"A.2.1  In 2019, atmospheric CO2concentrations were higher than at any time in at least 2 million years (high confidence), and concentrations of CH4and N2O were higher than at any time in at least 800,000 years (very high confidence). Since 1750, increases in CO2(47%) and CH4(156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). {2.2, 5.1, TS.2.2}"
