anchor,a_text,target,t_text
ablation__of_glaciers__ice_sheets__or_snow_cover_,See  Mass balance/budget (of glaciers or ice sheets) .,mass_balance_budget__of_glaciers_or_ice_sheets_,  Mass balance/budget (of glaciers or ice sheets)  Difference between the mass input ( accumulation 
abrupt_change,A change in the system that is substantially faster than the typical rate of the changes in its hist,abrupt_climate_change,  Abrupt climate change  A large-scale  abrupt change  in the climate system that takes place over a
abrupt_change,A change in the system that is substantially faster than the typical rate of the changes in its hist,tipping_point,"  Tipping point  A critical threshold beyond which a system reorganizes, often abruptly and/or irrev"
abrupt_climate_change,"A large-scale  abrupt change  in the climate system that takes place over a few decades or less, per",abrupt_change,  Abrupt change  A change in the system that is substantially faster than the typical rate of the ch
abrupt_climate_change,"A large-scale  abrupt change  in the climate system that takes place over a few decades or less, per",abrupt_change,  Abrupt change  A change in the system that is substantially faster than the typical rate of the ch
abrupt_climate_change,"A large-scale  abrupt change  in the climate system that takes place over a few decades or less, per",tipping_point,"  Tipping point  A critical threshold beyond which a system reorganizes, often abruptly and/or irrev"
accumulation__of_glaciers__ice_sheets__or_snow_cover_,See  Mass balance/budget (of glaciers or ice sheets) .,mass_balance_budget__of_glaciers_or_ice_sheets_,  Mass balance/budget (of glaciers or ice sheets)  Difference between the mass input ( accumulation 
active_layer,Layer of ground above  permafrost  subject to annual thawing and freezing.,permafrost,"  Permafrost  Ground (soil or rock, and included ice and organic material) that remains at or below "
adaptation,"In  human systems , the process of adjustment to actual or expected  climate  and its effects, in or",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously a"
adaptation,"In  human systems , the process of adjustment to actual or expected  climate  and its effects, in or",natural_systems,"  Natural systems  The dynamic physical, physicochemical and biological components of the Earth syst"
adaptation,"In  human systems , the process of adjustment to actual or expected  climate  and its effects, in or",adaptation_options,  Adaptation options  The array of strategies and measures that are available and appropriate for ad
adaptation,"In  human systems , the process of adjustment to actual or expected  climate  and its effects, in or",adaptive_capacity,"  Adaptive capacity  The ability of systems, institutions, humans and other organisms to adjust to p"
adaptation_options,The array of strategies and measures that are available and appropriate for addressing  adaptation .,adaptation,"  Adaptation  In  human systems , the process of adjustment to actual or expected  climate  and its "
added_value,Improvement of the representation of some climatic aspects by one methodology compared to another me,downscaling,  Downscaling  A method that derives local- to regional-scale information from larger-scale models o
added_value,Improvement of the representation of some climatic aspects by one methodology compared to another me,climate_model,  Climate model  A qualitative or quantitative representation of the  climate system  based on the p
added_value,Improvement of the representation of some climatic aspects by one methodology compared to another me,climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously a"
adjustments__in_relation_to_effective_radiative_forcing_,"The response to an agent perturbing the  climate system  that is driven directly by the agent, indep",climate_system,"  Climate system  The global system consisting of five major components: the  atmosphere , the  hydr"
adjustments__in_relation_to_effective_radiative_forcing_,"The response to an agent perturbing the  climate system  that is driven directly by the agent, indep",global_surface_temperature,  Global surface temperature  See  Global mean surface temperature (GMST)  and  Global mean surface 
adjustments__in_relation_to_effective_radiative_forcing_,"The response to an agent perturbing the  climate system  that is driven directly by the agent, indep",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers – the  tropospher"
adjustment_time,See  Response time or adjustment time .,response_time_or_adjustment_time,"  Response time or adjustment time  In the context of  climate  variations, the response time or adj"
advection,"Transport of water or air along with its properties  (e.g., temperature, chemical tracers) by winds ",convection,"  Convection  Vertical motion driven by buoyancy forces arising from static instability, usually cau"
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",troposphere,"  Troposphere  The lowest part of the  atmosphere , below the  tropopause , where clouds and weather"
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",stratosphere,"  Stratosphere  The highly stratified region of the atmosphere above the  tropopause , extending to "
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",anthropogenic,  Anthropogenic  Resulting from or produced by human activities.
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",aerosol–radiation_interaction,  Aerosol–radiation interaction  An interaction of  aerosol  directly with radiation produces radiat
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",precursors,"  Precursors  Atmospheric compounds that are not  greenhouse gases (GHGs)  or  aerosols , but that h"
aerosol,"A suspension of airborne solid or liquid particles, with typical particle size in the range of a few",black_carbon__bc_,"  Black carbon (BC)  A relatively pure form of carbon, also known as soot, arising from the incomple"
aerosol_effective_radiative_forcing__erfari_aci_,See  Aerosol–radiation interaction .,aerosol–radiation_interaction,  Aerosol–radiation interaction  An interaction of  aerosol  directly with radiation produces radiat
aerosol_optical_depth__aod_,Wavelength-dependent aerosol optical depth is a measure of the  aerosol  contribution to extinction ,aerosol,"  Aerosol  A suspension of airborne solid or liquid particles, with typical particle size in the ran"
aerosol–cloud_interaction,A process by which a perturbation to  aerosol  affects the microphysical properties and evolution of,aerosol,"  Aerosol  A suspension of airborne solid or liquid particles, with typical particle size in the ran"
aerosol–cloud_interaction,A process by which a perturbation to  aerosol  affects the microphysical properties and evolution of,anthropogenic,  Anthropogenic  Resulting from or produced by human activities.
aerosol–cloud_interaction,A process by which a perturbation to  aerosol  affects the microphysical properties and evolution of,source,"  Source  Any process or activity which releases a  greenhouse gas , an  aerosol  or a  precursor  o"
