,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38605995
source,MED
pmid,38605995
pmcid,PMC11007792
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11007792')])"
doi,10.1002/dad2.12577
title,Examining the propensity and nature of criminal risk behaviours in frontotemporal dementia syndromes and Alzheimer's disease.
authorString,"Kumfor F, Wei G, Ries N, Bennett H, D'Mello M, Kaizik C, Piguet O, Hodges JR."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Kumfor F'), ('firstName', 'Fiona'), ('lastName', 'Kumfor'), ('initials', 'F'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3208-075X')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'School of Psychology University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')])])]))]), OrderedDict([('fullName', 'Wei G'), ('firstName', 'Grace'), ('lastName', 'Wei'), ('initials', 'G'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'School of Psychology University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')])])]))]), OrderedDict([('fullName', 'Ries N'), ('firstName', 'Nola'), ('lastName', 'Ries'), ('initials', 'N'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-5264-6722')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Law Health Justice Research Centre University of Technology Sydney Ultimo New South Wales Australia.')]))]))]), OrderedDict([('fullName', 'Bennett H'), ('firstName', 'Hayley'), ('lastName', 'Bennett'), ('initials', 'H'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Neuroscience Research Australia Randwick New South Wales Australia.')]))]))]), OrderedDict([('fullName', ""D'Mello M""), ('firstName', 'Mirelle'), ('lastName', ""D'Mello""), ('initials', 'M'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'School of Psychology University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')])])]))]), OrderedDict([('fullName', 'Kaizik C'), ('firstName', 'Cassandra'), ('lastName', 'Kaizik'), ('initials', 'C'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'School of Psychology University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')])])]))]), OrderedDict([('fullName', 'Piguet O'), ('firstName', 'Olivier'), ('lastName', 'Piguet'), ('initials', 'O'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'School of Psychology University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')])])]))]), OrderedDict([('fullName', 'Hodges JR'), ('firstName', 'John R'), ('lastName', 'Hodges'), ('initials', 'JR'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Brain and Mind Centre University of Sydney Sydney New South Wales Australia.')]), OrderedDict([('affiliation', 'Central Clinical School University of Sydney Sydney New South Wales Australia.')])])]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3208-075X')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-5264-6722')])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('issue', '2'), ('volume', '16'), ('journalIssueId', '3749993'), ('dateOfPublication', '2024 Apr-Jun'), ('monthOfPublication', '0'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-04-01'), ('journal', OrderedDict([('title', ""Alzheimer's & dementia (Amsterdam, Netherlands)""), ('ISOAbbreviation', 'Alzheimers Dement (Amst)'), ('medlineAbbreviation', 'Alzheimers Dement (Amst)'), ('NLMid', '101654604'), ('ISSN', '2352-8729'), ('ESSN', '2352-8729')]))])"
pubYear,2024
pageInfo,e12577
abstractText,"<h4>Introduction</h4>Some people with dementia develop changes in behaviour and cognition that may lead to interactions with police or the legal system. However, large, prospective case-control studies examining these behaviours are lacking.<h4>Methods</h4>One hundred and forty-four people with dementia and 53 controls completed the Misdemeanours and Transgressions Screener.<h4>Results</h4>Criminal risk behaviours were reported in: 65.6% of behavioural-variant frontotemporal dementia, 46.2% of right-lateralised semantic dementia, and 27.0% of Alzheimer's disease patients. In 19.1% of patients these behaviours led to contact with police or authority figures. Compared to controls, people with dementia showed higher rates of physical assault (<i>p </i>= 0.024), financial/professional recklessness (<i>p </i>= 0.009), and inappropriate behaviours (<i>p</i> <i> </i>= 0.052).<h4>Discussion</h4>Criminal risk behaviours are common across dementia subtypes and may be one of the first clinical signs of frontotemporal dementia. Further research to understand how to balance risk minimisation with an individual's liberties as well as the inappropriate criminalisation of people with dementia is needed.<h4>Highlights</h4>The Misdemeanours and Transgressions Screener is a new tool to assess criminal risk behaviours.Forty-seven percent of patients with dementia show criminal risk behaviour after dementia onset.Behaviours included verbal abuse, traffic violations, physical assault.New onset of criminal risk behaviours >50 years is a clinical sign for frontotemporal dementia."
affiliation,School of Psychology University of Sydney Sydney New South Wales Australia.
publicationStatus,epublish
language,eng
