,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38769129
source,MED
pmid,38769129
pmcid,PMC11106303
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11106303')])"
doi,10.1038/s41598-024-62342-2
title,Time division multiplexing based multi-spectral semantic camera for LiDAR applications.
authorString,"Kim S, Jeong TI, Kim S, Choi E, Yang E, Song M, Eom TJ, Kim CS, Gliserin A, Kim S."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Kim S'), ('firstName', 'Sehyeon'), ('lastName', 'Kim'), ('initials', 'S'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6765-2471')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Jeong TI'), ('firstName', 'Tae-In'), ('lastName', 'Jeong'), ('initials', 'TI'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Kim S'), ('firstName', 'San'), ('lastName', 'Kim'), ('initials', 'S'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Choi E'), ('firstName', 'Eunji'), ('lastName', 'Choi'), ('initials', 'E'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Yang E'), ('firstName', 'Eunju'), ('lastName', 'Yang'), ('initials', 'E'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Song M'), ('firstName', 'Munki'), ('lastName', 'Song'), ('initials', 'M'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]))]))]), OrderedDict([('fullName', 'Eom TJ'), ('firstName', 'Tae Joong'), ('lastName', 'Eom'), ('initials', 'TJ'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')]), OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea.')])])]))]), OrderedDict([('fullName', 'Kim CS'), ('firstName', 'Chang-Seok'), ('lastName', 'Kim'), ('initials', 'CS'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. ckim@pusan.ac.kr.')]), OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. ckim@pusan.ac.kr.')])])]))]), OrderedDict([('fullName', 'Gliserin A'), ('firstName', 'Alexander'), ('lastName', 'Gliserin'), ('initials', 'A'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. alex@mpk.or.kr.')]), OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. alex@mpk.or.kr.')])])]))]), OrderedDict([('fullName', 'Kim S'), ('firstName', 'Seungchul'), ('lastName', 'Kim'), ('initials', 'S'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Cogno-Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. s.kim@pusan.ac.kr.')]), OrderedDict([('affiliation', 'Department of Optics and Mechatronics Engineering, College of Nanoscience and Nanotechnology, Pusan National University, Busan, 46241, Republic of Korea. s.kim@pusan.ac.kr.')])])]))])])])"
authorIdList,"OrderedDict([('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6765-2471')]))])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '14'), ('journalIssueId', '3763648'), ('dateOfPublication', '2024 May'), ('monthOfPublication', '5'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-05-01'), ('journal', OrderedDict([('title', 'Scientific reports'), ('ISOAbbreviation', 'Sci Rep'), ('medlineAbbreviation', 'Sci Rep'), ('NLMid', '101563288'), ('ISSN', '2045-2322'), ('ESSN', '2045-2322')]))])"
pubYear,2024
pageInfo,11445
