,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38813389
source,MED
pmid,38813389
pmcid,PMC11133575
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11133575')])"
doi,10.3389/fmed.2024.1365501
title,Artificial intelligence based data curation: enabling a patient-centric European health data space.
authorString,"de Zegher I, Norak K, Steiger D, Müller H, Kalra D, Scheenstra B, Cina I, Shulz S, Uma K, Kalendralis P, Lotmam EM, Benedikt M, Dumontier M, Celebi R."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'de Zegher I'), ('firstName', 'Isabelle'), ('lastName', 'de Zegher'), ('initials', 'I'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'B!loba, Tervuren, Belgium.')]))]))]), OrderedDict([('fullName', 'Norak K'), ('firstName', 'Kerli'), ('lastName', 'Norak'), ('initials', 'K'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'North Estonia Medical Centre, Tallinn, Estonia.')]), OrderedDict([('affiliation', 'Department of Health Technologies, Tallinn University of Technology, Tallinn, Estonia.')])])]))]), OrderedDict([('fullName', 'Steiger D'), ('firstName', 'Dominik'), ('lastName', 'Steiger'), ('initials', 'D'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'MIDATA Genossenschaft, Zürich, Switzerland.')]))]))]), OrderedDict([('fullName', 'Müller H'), ('firstName', 'Heimo'), ('lastName', 'Müller'), ('initials', 'H'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Diagnostics and Research Institute of Pathology, Medical University Graz, Graz, Austria.')]))]))]), OrderedDict([('fullName', 'Kalra D'), ('firstName', 'Dipak'), ('lastName', 'Kalra'), ('initials', 'D'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'The European Institute for Innovation Through Health Data, Ghent, Belgium.')]))]))]), OrderedDict([('fullName', 'Scheenstra B'), ('firstName', 'Bart'), ('lastName', 'Scheenstra'), ('initials', 'B'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Cardiothoracic Surgery, Cardiovascular Research Institute Maastricht, Maastricht University Medical Centre, Maastricht, Netherlands.')]))]))]), OrderedDict([('fullName', 'Cina I'), ('firstName', 'Isabella'), ('lastName', 'Cina'), ('initials', 'I'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'European Heart Network, Bruxelles, Belgium.')]))]))]), OrderedDict([('fullName', 'Shulz S'), ('firstName', 'Stefan'), ('lastName', 'Shulz'), ('initials', 'S'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Averbis GmbH, Freiburg, Germany.')]), OrderedDict([('affiliation', 'Institute for Medical Informatics, Statistics and Documentation, Medical University Graz, Graz, Austria.')])])]))]), OrderedDict([('fullName', 'Uma K'), ('firstName', 'Kanimozhi'), ('lastName', 'Uma'), ('initials', 'K'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculty of Engineering Science, Department of Computer Science (HCI), Leuven, Belgium.')]))]))]), OrderedDict([('fullName', 'Kalendralis P'), ('firstName', 'Petros'), ('lastName', 'Kalendralis'), ('initials', 'P'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Radiation Oncology (Maastro), GROW School for Oncology and Reproduction, Maastricht University Medical Centre, Maastricht, Netherlands.')]))]))]), OrderedDict([('fullName', 'Lotmam EM'), ('firstName', 'Eno-Martin'), ('lastName', 'Lotmam'), ('initials', 'EM'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'North Estonia Medical Centre, Tallinn, Estonia.')]))]))]), OrderedDict([('fullName', 'Benedikt M'), ('firstName', 'Martin'), ('lastName', 'Benedikt'), ('initials', 'M'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Internal Medicine, Division of Cardiology, Medical University of Graz, Graz, Austria.')]))]))]), OrderedDict([('fullName', 'Dumontier M'), ('firstName', 'Michel'), ('lastName', 'Dumontier'), ('initials', 'M'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Advanced Computing Sciences, Institute of Data Science, Maastricht University, Maastricht, Netherlands.')]))]))]), OrderedDict([('fullName', 'Celebi R'), ('firstName', 'Remzi'), ('lastName', 'Celebi'), ('initials', 'R'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Advanced Computing Sciences, Institute of Data Science, Maastricht University, Maastricht, Netherlands.')]))]))])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('volume', '11'), ('journalIssueId', '3703812'), ('dateOfPublication', '2024'), ('monthOfPublication', '0'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-01-01'), ('journal', OrderedDict([('title', 'Frontiers in medicine'), ('ISOAbbreviation', 'Front Med (Lausanne)'), ('medlineAbbreviation', 'Front Med (Lausanne)'), ('NLMid', '101648047'), ('ISSN', '2296-858X'), ('ESSN', '2296-858X')]))])"
pubYear,2024
pageInfo,1365501
