,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38778219
source,MED
pmid,38778219
pmcid,PMC11111678
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11111678')])"
doi,10.1038/s41598-024-62331-5
title,Polyp segmentation based on implicit edge-guided cross-layer fusion networks.
authorString,"Liu J, Zhang W, Liu Y, Zhang Q."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Liu J'), ('firstName', 'Junqing'), ('lastName', 'Liu'), ('initials', 'J'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""Hubei Engineering and Technology Research Center for Construction Quality Inspection Equipment, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")]), OrderedDict([('affiliation', ""College of Computer and Information Technology, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Zhang W'), ('firstName', 'Weiwei'), ('lastName', 'Zhang'), ('initials', 'W'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""Hubei Engineering and Technology Research Center for Construction Quality Inspection Equipment, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China. youn_xxt@163.com."")]), OrderedDict([('affiliation', ""College of Computer and Information Technology, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China. youn_xxt@163.com."")])])]))]), OrderedDict([('fullName', 'Liu Y'), ('firstName', 'Yong'), ('lastName', 'Liu'), ('initials', 'Y'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""Hubei Engineering and Technology Research Center for Construction Quality Inspection Equipment, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")]), OrderedDict([('affiliation', ""College of Computer and Information Technology, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Zhang Q'), ('firstName', 'Qinghe'), ('lastName', 'Zhang'), ('initials', 'Q'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""Hubei Engineering and Technology Research Center for Construction Quality Inspection Equipment, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")]), OrderedDict([('affiliation', ""College of Computer and Information Technology, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."")])])]))])])])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '14'), ('journalIssueId', '3763648'), ('dateOfPublication', '2024 May'), ('monthOfPublication', '5'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-05-01'), ('journal', OrderedDict([('title', 'Scientific reports'), ('ISOAbbreviation', 'Sci Rep'), ('medlineAbbreviation', 'Sci Rep'), ('NLMid', '101563288'), ('ISSN', '2045-2322'), ('ESSN', '2045-2322')]))])"
pubYear,2024
pageInfo,11678
abstractText,"Polyps are abnormal tissue clumps growing primarily on the inner linings of the gastrointestinal tract. While such clumps are generally harmless, they can potentially evolve into pathological tumors, and thus require long-term observation and monitoring. Polyp segmentation in gastrointestinal endoscopy images is an important stage for polyp monitoring and subsequent treatment. However, this segmentation task faces multiple challenges: the low contrast of the polyp boundaries, the varied polyp appearance, and the co-occurrence of multiple polyps. So, in this paper, an implicit edge-guided cross-layer fusion network (IECFNet) is proposed for polyp segmentation. The codec pair is used to generate an initial saliency map, the implicit edge-enhanced context attention module aggregates the feature graph output from the encoding and decoding to generate the rough prediction, and the multi-scale feature reasoning module is used to generate final predictions. Polyp segmentation experiments have been conducted on five popular polyp image datasets (Kvasir, CVC-ClinicDB, ETIS, CVC-ColonDB, and CVC-300), and the experimental results show that the proposed method significantly outperforms a conventional method, especially with an accuracy margin of 7.9% on the ETIS dataset."
affiliation,"Hubei Engineering and Technology Research Center for Construction Quality Inspection Equipment, China Three Gorges University, Yichang, 443002, Hubei, People's Republic of China."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', OrderedDict([('grantId', '62371271'), ('agency', 'National Natural Science Foundation of China'), ('orderIn', '0')]))])"
