,id,source,target,package,section,object,subsection,source_text
0,id132,,WGII SPM C.1,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
1,id132,,WGII SPM C.2,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
2,id132,,WGII SPM C.2,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
3,id132,,WGII SPM C.5,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
4,id132,,WGII SPM D.2,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
5,id132,,WGII SPM D.3.2,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
6,id132,,WGII SPM D.3.3,WGII,SPM,,,Table of Contents Section 1: Introduction Section 
7,id132,,WGII SPM Figure SPM 4,WGII,SPM,Figure,,Table of Contents Section 1: Introduction Section 
8,id132,,WGIII SPM C.6.3,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
9,id132,,WGIII SPM C.8.2,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
10,id132,,WGIII SPM C.9,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
11,id132,,WGIII SPM C.9.1,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
12,id132,,WGIII SPM C.9.2,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
13,id132,,WGIII SPM D.2,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
14,id132,,WGIII SPM D.2.4,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
15,id132,,WGIII SPM D.3.2,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
16,id132,,WGIII SPM E.1,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
17,id132,,WGIII SPM E.2.4,WGIII,SPM,,,Table of Contents Section 1: Introduction Section 
18,id132,,WGIII SPM Figure SPM 8,WGIII,SPM,Figure,,Table of Contents Section 1: Introduction Section 
19,id132,,WGIII TS 7,WGIII,TS,,,Table of Contents Section 1: Introduction Section 
20,id132,,WGIII TS Figure TS 29,WGIII,TS,Figure,,Table of Contents Section 1: Introduction Section 
21,id132,,SRCCL ES Section 7.4.8,SRCCL,ES,,Section 7.4.8,Table of Contents Section 1: Introduction Section 
22,id132,,SRCCL SPM B.6,SRCCL,SPM,,,Table of Contents Section 1: Introduction Section 
23,id699,1,Annex II,,Annex,,,1  The  three  Working  Group  contributions  to  
24,id699,1,WGIII,WGIII,,,,1  The  three  Working  Group  contributions  to  
25,id829,1,WGI SPM A.1,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  
26,id829,1,WGI SPM A.1.2,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  
27,id829,1,WGI SPM A.1.3,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  
28,id829,1,WGI SPM A.2.2,WGI,SPM,,,Global  surface  temperature  was  around  1.1°C  
29,id829,1,WGI Figure SPM 2,WGI,SPM,Figure,,Global  surface  temperature  was  around  1.1°C  
