abbreviation,long_form,count,wiki_search_links
R&D,Research and Development,128,[//www.wikidata.org/wiki/Q276099]
GHG,Greenhouse Gas,24,[//wikidata.org/wiki/Q167336]
UNEP,United Nations Environment Programme,13,[//www.wikidata.org/wiki/Q182016]
UNFCCC,United Nations Framework Convention on Climate Change,35,[//www.wikidata.org/wiki/Q208645]
NGO,non-governmental organization,9,[//www.wikidata.org/wiki/Q79913]
OECD,Organisation for Economic Cooperation and Development,40,[//www.wikidata.org/wiki/Q41550]
IEA,International Energy Agency,40,[//www.wikidata.org/wiki/Q826700]
NDC,Nationally Determined Contributions,6,[//www.wikidata.org/wiki/Q20051297]
IRENA,International Renewable Energy Agency,7,[www.wikidata.org/wiki/Q392739]
PV,photovoltaics,42,[//www.wikidata.org/wiki/Q192127]
LEDs,light-emitting diode,1,[//www.wikidata.org/wiki/Q25504]
SIDS,Small Island Developing States,12,[//www.wikidata.org/wiki/Q1434887]
IPR,Intellectual Property Rights,22,
SDGs,Sustainable Development Goals,19,[//www.wikidata.org/wiki/Q7649586]
IAMs,Integrated Assessment Models,9,
IPCC,Intergovernmental Panel on Climate Change,163,[//www.wikidata.org/wiki/Q171183]
TRL,technology readiness level,9,[//www.wikidata.org/wiki/Q1478071]
TRA,Technology Readiness Assessment, ,
GPTs,General purpose technologies,4,
ICT,information and communications technology,3,[//www.wikidata.org/wiki/Q5268834]
BEMS,Building Energy Management System,1,[//www.wikidata.org/wiki/Q18382865]
ITF,International Transport Forum,3,[//www.wikidata.org/wiki/Q1337904]
