,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,37123781
source,MED
pmid,37123781
pmcid,PMC10139678
fullTextIdList,"OrderedDict([('fullTextId', 'PMC10139678')])"
doi,10.7759/cureus.36718
title,Intraoperative Testing During the Mapping of the Language Cortex.
authorString,"Kabir SS, Jahangiri FR, Rinesmith C, Vilches CS, Chakarvarty S."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Kabir SS'), ('firstName', 'Shabab S'), ('lastName', 'Kabir'), ('initials', 'SS'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA.')]), OrderedDict([('affiliation', 'Neurophysiology, Global Innervation LLC, Dallas, USA.')])])]))]), OrderedDict([('fullName', 'Jahangiri FR'), ('firstName', 'Faisal R'), ('lastName', 'Jahangiri'), ('initials', 'FR'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-1342-1977')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Intraoperative Neuromonitoring Program, Labouré College of Healthcare, Milton, USA.')]), OrderedDict([('affiliation', 'Neurology, NeuroCare.AI Academy, Dallas, USA.')]), OrderedDict([('affiliation', 'Neurophysiology, Global Innervation LLC, Dallas, USA.')]), OrderedDict([('affiliation', 'Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA.')])])]))]), OrderedDict([('fullName', 'Rinesmith C'), ('firstName', 'Callista'), ('lastName', 'Rinesmith'), ('initials', 'C'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA.')]))]))]), OrderedDict([('fullName', 'Vilches CS'), ('firstName', 'Cristobal S'), ('lastName', 'Vilches'), ('initials', 'CS'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA.')]))]))]), OrderedDict([('fullName', 'Chakarvarty S'), ('firstName', 'Swati'), ('lastName', 'Chakarvarty'), ('initials', 'S'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA.')]), OrderedDict([('affiliation', 'Neurophysiology, Global Innervation LLC, Dallas, USA.')])])]))])])])"
authorIdList,"OrderedDict([('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-1342-1977')]))])"
journalInfo,"OrderedDict([('issue', '3'), ('volume', '15'), ('journalIssueId', '3519708'), ('dateOfPublication', '2023 Mar'), ('monthOfPublication', '3'), ('yearOfPublication', '2023'), ('printPublicationDate', '2023-03-01'), ('journal', OrderedDict([('title', 'Cureus'), ('ISOAbbreviation', 'Cureus'), ('medlineAbbreviation', 'Cureus'), ('NLMid', '101596737'), ('ISSN', '2168-8184'), ('ESSN', '2168-8184')]))])"
pubYear,2023
pageInfo,e36718
abstractText,"Intracranial lesions, particularly in the language-eloquent areas of the brain, can affect one's speaking ability. Despite advances in surgery, the excision of these lesions can be challenging. Intraoperative neurophysiological monitoring (IONM) during awake craniotomies can help identify language-eloquent areas and minimize postoperative impairments. Preoperative language testing is performed to establish a baseline before intraoperative language testing. This involves subjecting patients to predetermined tasks in the operating room to evaluate their phonological, semantic, and syntactic capabilities. The current state and future directions of intraoperative language testing procedures are discussed in this paper. The most common intraoperative tasks are counting and picture naming. However, some experts recommend utilizing more nuanced tasks that involve regions affected by infrequently occurring tumor patterns. Low-frequency bipolar Penfield stimulation is optimal for language mapping. Exception cases are discussed where awake craniotomies are not feasible. When dealing with multilingual patients, the patient's age of learning and skill level can be accounted for in terms of making informed task choices and mapping techniques to avoid any damage to language areas."
affiliation,"Neuroscience, School of Behavioral and Brain Sciences, University of Texas at Dallas, Richardson, USA."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"OrderedDict([('pubType', ['other', 'Journal Article'])])"
keywordList,"OrderedDict([('keyword', ['Neuromonitoring', 'ECoG', 'Cortical Stimulation', 'Awake Craniotomy', 'Ionm', 'Language Mapping', 'Motor Mapping', 'Penfield', 'Intraoperative Language Testing', 'Taniguchi'])])"
fullTextUrlList,"OrderedDict([('fullTextUrl', [OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'pdf'), ('site', 'Unpaywall'), ('url', 'https://assets.cureus.com/uploads/technical_report/pdf/142070/20230327-18466-1081hnx.pdf')]), OrderedDict([('availability', 'Subscription required'), ('availabilityCode', 'S'), ('documentStyle', 'doi'), ('site', 'DOI'), ('url', 'https://doi.org/10.7759/cureus.36718')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'html'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC10139678')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'pdf'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC10139678?pdf=render')])])])"
isOpenAccess,Y
inEPMC,Y
inPMC,N
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,1
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
