,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38816456
source,MED
pmid,38816456
pmcid,PMC11139852
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11139852')])"
doi,10.1038/s41598-024-63257-8
title,DASUNet: a deeply supervised change detection network integrating full-scale features.
authorString,"Miao R, Meng G, Zhou K, Li Y, Chang R, Zhang G."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Miao R'), ('firstName', 'Ru'), ('lastName', 'Miao'), ('initials', 'R'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Meng G'), ('firstName', 'Geng'), ('lastName', 'Meng'), ('initials', 'G'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Zhou K'), ('firstName', 'Ke'), ('lastName', 'Zhou'), ('initials', 'K'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China. zhouke@henu.edu.cn."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China. zhouke@henu.edu.cn."")]), OrderedDict([('affiliation', ""Henan Provincial Spatio-Temporal Big Data Technology Innovation Center, Zhengzhou, 450046, People's Republic of China. zhouke@henu.edu.cn."")])])]))]), OrderedDict([('fullName', 'Li Y'), ('firstName', 'Yi'), ('lastName', 'Li'), ('initials', 'Y'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Chang R'), ('firstName', 'Ranran'), ('lastName', 'Chang'), ('initials', 'R'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China."")])])]))]), OrderedDict([('fullName', 'Zhang G'), ('firstName', 'Guangyu'), ('lastName', 'Zhang'), ('initials', 'G'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', ""School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."")]), OrderedDict([('affiliation', ""Henan Province Engineering Research Center of Spatial Information Processing, Henan University, Kaifeng, 475004, People's Republic of China."")])])]))])])])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '14'), ('journalIssueId', '3763648'), ('dateOfPublication', '2024 May'), ('monthOfPublication', '5'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-05-01'), ('journal', OrderedDict([('title', 'Scientific reports'), ('ISOAbbreviation', 'Sci Rep'), ('medlineAbbreviation', 'Sci Rep'), ('NLMid', '101563288'), ('ISSN', '2045-2322'), ('ESSN', '2045-2322')]))])"
pubYear,2024
pageInfo,12464
abstractText,"The change detection (CD) technology has greatly improved the ability to interpret land surface changes. Deep learning (DL) methods have been widely used in the field of CD due to its high detection accuracy and application range. DL-based CD methods usually cannot fuse the extracted feature information at full scale, leaving out effective information, and commonly use transfer learning methods, which rely on the original dataset and training weights. To address the above issues, we propose a deeply supervised (DS) change detection network (DASUNet) that fuses full-scale features, which adopts a Siamese architecture, fuses full-scale feature information, and realizes end-to-end training. In order to obtain higher feature information, the network uses atrous spatial pyramid pooling (ASPP) module in the coding stage. In addition, the DS module is used in the decoding stage to exploit feature information at each scale in the final prediction. The experimental comparison shows that the proposed network has the current state-of-the-art performance on the CDD and the WHU-CD, reaching 94.32% and 90.37% on F1, respectively."
affiliation,"School of Computer and Information Engineering, Henan University, Kaifeng, 475004, People's Republic of China."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
keywordList,"OrderedDict([('keyword', ['change detection', 'Atrous Spatial Pyramid Pooling', 'Deeply Supervised Layers', 'Full-scale Feature Fusion'])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
fullTextUrlList,"OrderedDict([('fullTextUrl', [OrderedDict([('availability', 'Subscription required'), ('availabilityCode', 'S'), ('documentStyle', 'doi'), ('site', 'DOI'), ('url', 'https://doi.org/10.1038/s41598-024-63257-8')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'html'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC11139852')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'pdf'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC11139852?pdf=render')])])])"
isOpenAccess,Y
inEPMC,Y
inPMC,N
