,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38875173
source,MED
pmid,38875173
pmcid,PMC11178169
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11178169')])"
doi,10.1371/journal.pone.0304835
title,Multi-source heterogeneous blockchain data quality assessment model for enterprise business activities.
authorString,"Zhang H, Zhang R, Li S, Du L, Song B, Ji W, Wang J."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Zhang H'), ('firstName', 'Haolin'), ('lastName', 'Zhang'), ('initials', 'H'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Zhang R'), ('firstName', 'Ran'), ('lastName', 'Zhang'), ('initials', 'R'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Li S'), ('firstName', 'Su'), ('lastName', 'Li'), ('initials', 'S'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Du L'), ('firstName', 'Likuan'), ('lastName', 'Du'), ('initials', 'L'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Song B'), ('firstName', 'Baoyan'), ('lastName', 'Song'), ('initials', 'B'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Ji W'), ('firstName', 'Wanting'), ('lastName', 'Ji'), ('initials', 'W'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))]), OrderedDict([('fullName', 'Wang J'), ('firstName', 'Junlu'), ('lastName', 'Wang'), ('initials', 'J'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5966-335X')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'School of Information, Liaoning University, Shenyang, Liaoning, China.')]))]))])])])"
authorIdList,"OrderedDict([('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5966-335X')]))])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', ['altmetrics', 'supporting_data'])])"
journalInfo,"OrderedDict([('issue', '6'), ('volume', '19'), ('journalIssueId', '3780249'), ('dateOfPublication', '2024'), ('monthOfPublication', '0'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-01-01'), ('journal', OrderedDict([('title', 'PloS one'), ('ISOAbbreviation', 'PLoS One'), ('medlineAbbreviation', 'PLoS One'), ('NLMid', '101285081'), ('ISSN', '1932-6203'), ('ESSN', '1932-6203')]))])"
pubYear,2024
pageInfo,e0304835
abstractText,"Blockchain-based applications are becoming more and more widespread in business operations. In view of the shortcomings of existing enterprise blockchain evaluation methods, this paper proposes a multi-source heterogeneous blockchain data quality evaluation model for enterprise business activities, so as to achieve efficient evaluation of business activity information consistency, credibility and value. This paper proposes a multi-source heterogeneous blockchain data quality assessment method for enterprise business activities, aiming at the problems that most of the data in enterprise business activities come from different data sources, information representation is inconsistent, information ambiguity between the same block chain is serious, and it is difficult to evaluate the consistency, credibility and value of information. The method firstly proposes an entity information representation method based on the Representation learning for fusing entity category information (CEKGRL) model, which introduces the triad structure of related entities in blockchain, then associates them with enterprise business activity categories, and carries out similarity calculation through contextual information to achieve blockchain information consistency assessment. After that, a trustworthiness characterization method is proposed based on information sources, information comments, and information contents, to obtain the trustworthiness assessment of the business. Finally, based on the information trustworthiness characterization, a value assessment method is introduced to assess the total value of business activity information in the blockchain, and a blockchain quality assessment model is constructed. The experimental results show that the proposed model has great advantages over existing methods in assessing inter-block consistency, intra-block activity information trustworthiness and the value of blockchain."
affiliation,"School of Information, Liaoning University, Shenyang, Liaoning, China."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', [OrderedDict([('grantId', '2022JH2/101300250'), ('agency', 'the Applied Basic Research Program of Liaoning Province'), ('orderIn', '0')]), OrderedDict([('grantId', '2023-BS-085'), ('agency', 'the Nature Science Foundation Program Doctoral Startup Project of Liaoning Province'), ('orderIn', '0')]), OrderedDict([('grantId', '230701160261310'), ('agency', 'the Ministry of Education University-Industry Collaborative Education Program'), ('orderIn', '0')]), OrderedDict([('grantId', 'JYTMS20230761'), ('agency', 'the General Program of University Basic Scientific Research of Education Department of Liaoning Province (Science and Engineering)'), ('orderIn', '0')])])])"
meshHeadingList,"OrderedDict([('meshHeading', [OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Humans')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Models, Theoretical')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Commerce')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Data Accuracy')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Blockchain')])])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
