,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38913621
source,MED
pmid,38913621
pmcid,PMC11195943
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11195943')])"
doi,10.1371/journal.pone.0299623
title,Enhancing semantic segmentation in chest X-ray images through image preprocessing: ps-KDE for pixel-wise substitution by kernel density estimation.
authorString,"Wang Y, Guo Y, Wang Z, Yu L, Yan Y, Gu Z."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Wang Y'), ('firstName', 'Yuanchen'), ('lastName', 'Wang'), ('initials', 'Y'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))]), OrderedDict([('fullName', 'Guo Y'), ('firstName', 'Yujie'), ('lastName', 'Guo'), ('initials', 'Y'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))]), OrderedDict([('fullName', 'Wang Z'), ('firstName', 'Ziqi'), ('lastName', 'Wang'), ('initials', 'Z'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))]), OrderedDict([('fullName', 'Yu L'), ('firstName', 'Linzi'), ('lastName', 'Yu'), ('initials', 'L'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))]), OrderedDict([('fullName', 'Yan Y'), ('firstName', 'Yujie'), ('lastName', 'Yan'), ('initials', 'Y'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-9455-8106')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))]), OrderedDict([('fullName', 'Gu Z'), ('firstName', 'Zifan'), ('lastName', 'Gu'), ('initials', 'Z'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-8024-2629')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America.')]))]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-8024-2629')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-9455-8106')])])])"
journalInfo,"OrderedDict([('issue', '6'), ('volume', '19'), ('journalIssueId', '3780249'), ('dateOfPublication', '2024'), ('monthOfPublication', '0'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-01-01'), ('journal', OrderedDict([('title', 'PloS one'), ('ISOAbbreviation', 'PLoS One'), ('medlineAbbreviation', 'PLoS One'), ('NLMid', '101285081'), ('ISSN', '1932-6203'), ('ESSN', '1932-6203')]))])"
pubYear,2024
pageInfo,e0299623
abstractText,"<h4>Background</h4>In medical imaging, the integration of deep-learning-based semantic segmentation algorithms with preprocessing techniques can reduce the need for human annotation and advance disease classification. Among established preprocessing techniques, Contrast Limited Adaptive Histogram Equalization (CLAHE) has demonstrated efficacy in improving segmentation algorithms across various modalities, such as X-rays and CT. However, there remains a demand for improved contrast enhancement methods considering the heterogeneity of datasets and the various contrasts across different anatomic structures.<h4>Method</h4>This study proposes a novel preprocessing technique, ps-KDE, to investigate its impact on deep learning algorithms to segment major organs in posterior-anterior chest X-rays. Ps-KDE augments image contrast by substituting pixel values based on their normalized frequency across all images. We evaluate our approach on a U-Net architecture with ResNet34 backbone pre-trained on ImageNet. Five separate models are trained to segment the heart, left lung, right lung, left clavicle, and right clavicle.<h4>Results</h4>The model trained to segment the left lung using ps-KDE achieved a Dice score of 0.780 (SD = 0.13), while that of trained on CLAHE achieved a Dice score of 0.717 (SD = 0.19), p<0.01. ps-KDE also appears to be more robust as CLAHE-based models misclassified right lungs in select test images for the left lung model. The algorithm for performing ps-KDE is available at https://github.com/wyc79/ps-KDE.<h4>Discussion</h4>Our results suggest that ps-KDE offers advantages over current preprocessing techniques when segmenting certain lung regions. This could be beneficial in subsequent analyses such as disease classification and risk stratification."
affiliation,"Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts, United States of America."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
