,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38167871
source,MED
pmid,38167871
pmcid,PMC10761856
fullTextIdList,"OrderedDict([('fullTextId', 'PMC10761856')])"
doi,10.1038/s41598-023-50687-z
title,Semantic and episodic processes differently predict false memories in the DRM task.
authorString,"Gatti D, Rinaldi L, Mazzoni G, Vecchi T."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Gatti D'), ('firstName', 'Daniele'), ('lastName', 'Gatti'), ('initials', 'D'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Department of Brain and Behavioral Sciences, University of Pavia, Piazza Botta 6, 27100, Pavia, Italy. daniele.gatti@unipv.it.')]))]))]), OrderedDict([('fullName', 'Rinaldi L'), ('firstName', 'Luca'), ('lastName', 'Rinaldi'), ('initials', 'L'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Brain and Behavioral Sciences, University of Pavia, Piazza Botta 6, 27100, Pavia, Italy.')]), OrderedDict([('affiliation', 'Cognitive Psychology Unit, IRCCS Mondino Foundation, Pavia, Italy.')])])]))]), OrderedDict([('fullName', 'Mazzoni G'), ('firstName', 'Giuliana'), ('lastName', 'Mazzoni'), ('initials', 'G'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Health, Dynamic and Clinical Psychology, University La Sapienza, Rome, Italy.')]), OrderedDict([('affiliation', 'Department of Psychology, University of Hull, Hull, UK.')])])]))]), OrderedDict([('fullName', 'Vecchi T'), ('firstName', 'Tomaso'), ('lastName', 'Vecchi'), ('initials', 'T'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Department of Brain and Behavioral Sciences, University of Pavia, Piazza Botta 6, 27100, Pavia, Italy.')]), OrderedDict([('affiliation', 'Cognitive Psychology Unit, IRCCS Mondino Foundation, Pavia, Italy.')])])]))])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '14'), ('journalIssueId', '3689431'), ('dateOfPublication', '2024 Jan'), ('monthOfPublication', '1'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-01-01'), ('journal', OrderedDict([('title', 'Scientific reports'), ('ISOAbbreviation', 'Sci Rep'), ('medlineAbbreviation', 'Sci Rep'), ('NLMid', '101563288'), ('ISSN', '2045-2322'), ('ESSN', '2045-2322')]))])"
pubYear,2024
pageInfo,256
abstractText,"There is a fervent debate about the processes underpinning false memories formation. Seminal theories have suggested that semantic memory would be involved in false memories production, while episodic memory would counter their formation. Yet, direct evidence corroborating such view is still lacking. Here, we tested this possibility by asking participants to perform the Deese-Roediger-McDermott (DRM) task, a typical false memory paradigm, in which they had to study lists of words and subsequently to recognize and distinguish them from new words (i.e., the false memory items). The same participants were also required to perform a semantic task and an episodic-source memory task. Our results showed that a higher number of false memories in the DRM task occurred for those participants with better semantic memory abilities, while a lower number of false memories occurred for participants with better episodic abilities. These findings support a key role of semantic processes in false memory formation and, more generally, help clarify the specific contribution of different memory systems to false recognitions."
affiliation,"Department of Brain and Behavioral Sciences, University of Pavia, Piazza Botta 6, 27100, Pavia, Italy. daniele.gatti@unipv.it."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', [OrderedDict([('grantId', 'Ricerca Corrente, 2022'), ('agency', 'Ministero della Salute'), ('orderIn', '0')]), OrderedDict([('grantId', 'PRIN 2017 no. 201755TKFE'), ('agency', 'Ministero dell&apos;Università e della Ricerca'), ('orderIn', '0')]), OrderedDict([('grantId', 'PRIN 2017 no. 201755TKFE'), ('agency', ""Ministero dell'Università e della Ricerca""), ('orderIn', '0')])])])"
meshHeadingList,"OrderedDict([('meshHeading', [OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Humans')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Cognition')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Mental Recall')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Semantics')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Memory, Episodic')])])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
fullTextUrlList,"OrderedDict([('fullTextUrl', [OrderedDict([('availability', 'Subscription required'), ('availabilityCode', 'S'), ('documentStyle', 'doi'), ('site', 'DOI'), ('url', 'https://doi.org/10.1038/s41598-023-50687-z')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'html'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC10761856')]), OrderedDict([('availability', 'Open access'), ('availabilityCode', 'OA'), ('documentStyle', 'pdf'), ('site', 'Europe_PMC'), ('url', 'https://europepmc.org/articles/PMC10761856?pdf=render')])])])"
commentCorrectionList,"OrderedDict([('commentCorrection', OrderedDict([('id', 'PPR321365'), ('source', 'PPR'), ('type', 'Preprint in'), ('note', 'Link created based on a title-first author match'), ('orderIn', '10002')]))])"
isOpenAccess,Y
inEPMC,Y
inPMC,N
hasPDF,Y
hasBook,N
hasSuppl,Y
citedByCount,0
hasData,Y
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,Y
license,cc by
