,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38890368
source,MED
pmid,38890368
pmcid,PMC11189566
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11189566')])"
doi,10.1038/s41467-024-49528-y
title,Simple autonomous agents can enhance creative semantic discovery by human groups.
authorString,"Ueshima A, Jones MI, Christakis NA."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Ueshima A'), ('firstName', 'Atsushi'), ('lastName', 'Ueshima'), ('initials', 'A'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-5850-9526')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Yale Institute for Network Science, Yale University, New Haven, CT, USA.')]), OrderedDict([('affiliation', 'Department of Sociology, Yale University, New Haven, CT, USA.')]), OrderedDict([('affiliation', 'Japan Society for the Promotion of Science, Tokyo, Japan.')]), OrderedDict([('affiliation', 'Department of Human Sciences, Faculty of Letters, Keio University, Tokyo, Japan.')])])]))]), OrderedDict([('fullName', 'Jones MI'), ('firstName', 'Matthew I'), ('lastName', 'Jones'), ('initials', 'MI'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-9972-6367')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Yale Institute for Network Science, Yale University, New Haven, CT, USA.')]), OrderedDict([('affiliation', 'Department of Sociology, Yale University, New Haven, CT, USA.')]), OrderedDict([('affiliation', 'Sunwater Institute, North Bethesda, MD, USA.')])])]))]), OrderedDict([('fullName', 'Christakis NA'), ('firstName', 'Nicholas A'), ('lastName', 'Christakis'), ('initials', 'NA'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5547-1086')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', [OrderedDict([('affiliation', 'Yale Institute for Network Science, Yale University, New Haven, CT, USA. nicholas.christakis@yale.edu.')]), OrderedDict([('affiliation', 'Department of Sociology, Yale University, New Haven, CT, USA. nicholas.christakis@yale.edu.')]), OrderedDict([('affiliation', 'Department of Statistics and Data Science, Yale University, New Haven, CT, USA. nicholas.christakis@yale.edu.')])])]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-5547-1086')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-5850-9526')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-9972-6367')])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('issue', '1'), ('volume', '15'), ('journalIssueId', '3778419'), ('dateOfPublication', '2024 Jun'), ('monthOfPublication', '6'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-06-01'), ('journal', OrderedDict([('title', 'Nature communications'), ('ISOAbbreviation', 'Nat Commun'), ('medlineAbbreviation', 'Nat Commun'), ('NLMid', '101528555'), ('ISSN', '2041-1723'), ('ESSN', '2041-1723')]))])"
pubYear,2024
pageInfo,5212
abstractText,"Innovation is challenging, and theory and experiments indicate that groups may be better able to identify and preserve innovations than individuals. But innovation within groups faces its own challenges, including groupthink and truncated diffusion. We performed experiments involving a game in which people search for ideas in various conditions: alone, in networked social groups, or in networked groups featuring autonomous agents (bots). The objective was to search a semantic space of 20,000 nouns with defined similarities for an arbitrary noun with the highest point value. Participants (N = 1875) were embedded in networks (n = 125) of 15 nodes to which we sometimes added 2 bots. The bots had 3 possible strategies: they shared a random noun generated by their immediate neighbors, or a noun most similar from among those identified, or a noun least similar. We first confirm that groups are better able to explore a semantic space than isolated individuals. Then we show that when bots that share the most similar noun operate in groups facing a semantic space that is relatively easy to navigate, group performance is superior. Simple autonomous agents with interpretable behavior can affect the capacity for creative discovery of human groups."
affiliation,"Yale Institute for Network Science, Yale University, New Haven, CT, USA."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', OrderedDict([('agency', 'This work was supported by the NOMIS Foundation (NAC), with additional support from the Pershing Square Foundation and the Sunwater Institute (NAC).'), ('orderIn', '0')]))])"
meshHeadingList,"OrderedDict([('meshHeading', [OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Humans')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Group Processes')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Semantics')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Adult')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Female')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Male')]), OrderedDict([('majorTopic_YN', 'N'), ('descriptorName', 'Young Adult')]), OrderedDict([('majorTopic_YN', 'Y'), ('descriptorName', 'Creativity')])])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
